0000EFA6 0000EFC4 ?GetZoomNumerator@CDisplay@@QBEJXZ
0000EFC9 0000EFDB ?SetClientHeight@CDisplay@@IAEJJ@Z
0000EFE0 0000F093 ?OnPostReplaceRange@CDisplay@@UAEXJJJJJ@Z
0000F098 0000F0B0 ?SetWordWrap@CDisplay@@QAEXH@Z
0000F0B5 0000F0BF ?GetWordWrap@CDisplay@@UBEHXZ
0000F0C4 0000F0DA ?SaveUpdateCaret@CDisplay@@QAEXH@Z
0000F0DF 0000F0FA ?SetNeedRedisplayOnThaw@CDisplay@@QAEXH@Z
0000F0FF 0000F135 ?Freeze@CDisplay@@QAEXXZ
0000F13A 0000F20D ?Thaw@CDisplay@@QAEXXZ
0000F212 0000F22E ?IsHScrollEnabled@CDisplay@@QAEHXZ
0000F233 0000F249 ?HimetricXtoDX@CDevDesc@@QBEJJ@Z
0000F24E 0000F264 ?HimetricYtoDY@CDevDesc@@QBEJJ@Z
0000F269 0000F27F ?DXtoHimetricX@CDevDesc@@QBEJJ@Z
0000F284 0000F29A ?DYtoHimetricY@CDevDesc@@QBEJJ@Z
0000F29F 0000F2DF ?SetMax@CLed@@QAEXQBVCDisplay@@@Z
0000F2E4 0000F308 ??0CDisplay@@QAE@PAVCTxtEdit@@@Z
0000F30D 0000F353 ??1CDisplay@@UAE@XZ
0000F358 0000F3F2 ?HScroll@CDisplay@@QAEXGJ@Z
0000F41B 0000F4C4 ?SmoothVScroll@CDisplay@@QAEXHGHHH@Z
0000F4C9 0000F5B6 ?SmoothVScrollUpdate@CDisplay@@QAEXXZ
0000F5BB 0000F87C ?AutoScroll@CDisplay@@QAEHUtagPOINT@@GG@Z
0000F881 0000F8DA ?GetZoomDenominator@CDisplay@@QBEJXZ
0000F8DF 0000F902 ?Zoom@CDisplay@@QBEJJ@Z
0000F907 0000F928 ?UnZoom@CDisplay@@QBEJJ@Z
