00016075 0001627F ?PrintfCertStruct@@YGXPAXHPAU_CRYPT_PROVIDER_CERT@@H@Z
000169B5 00016AB7 ?PrintfSignerStruct@@YGXPAXPAU_CRYPT_PROVIDER_SGNR@@HHH@Z
00016D7D 00017571 _SoftpubDumpStructure@4
00018C81 00018D6C ?_HandleCertChoice@@YGJPAU_CRYPT_PROVIDER_DATA@@@Z
00018D71 00018E20 ?_BuildChainForPubKeyParaInheritance@@YGXPAU_CRYPT_PROVIDER_DATA@@PBU_CERT_CONTEXT@@@Z
00018E25 00018FB2 ?_HandleSignerChoice@@YGJPAU_CRYPT_PROVIDER_DATA@@@Z
00018FB7 00019028 ?_AllocGetOpusInfo@@YGPAU_SPC_SP_OPUS_INFO@@PAU_CRYPT_PROVIDER_DATA@@PAU_CRYPT_PROVIDER_SGNR@@PAK@Z
0001902D 00019096 ?FindCertificateInStore@@YGPBU_CERT_CONTEXT@@PAXPBU1@@Z
0001909B 000190D9 ?IsCertificateInStore@@YGHPAXPBU_CERT_CONTEXT@@PAPBU1@@Z
000190DE 00019101 ?DeleteCertificateFromStore@@YGHPAXPBU_CERT_CONTEXT@@@Z
00019106 0001911D ??1CTrustDB@@AAE@XZ
00019122 00019138 ?AddRef@CTrustDB@@EAGKXZ
0001913D 00019194 ?Init@CTrustDB@@AAEJH@Z
00019199 0001922A ?QueryInterface@CTrustDB@@EAGJABU_GUID@@PAPAX@Z
00019241 0001926A ?DoesCertExist@CTrustDB@@EAGJPBU_CERT_CONTEXT@@PAPBU2@@Z
0001926F 000192BB ?AddCert@CTrustDB@@EAGJPBU_CERT_CONTEXT@@@Z
000192C0 00019311 ?RemoveCert@CTrustDB@@EAGJPBU_CERT_CONTEXT@@@Z
00019316 00019337 ??_GCTrustDB@@AAEPAXI@Z
0001933C 0001936D ?Release@CTrustDB@@EAGKXZ
00019372 0001938A ??0CTrustDB@@AAE@XZ
0001938F 0001943C ?CreateInstance@CTrustDB@@SGJABU_GUID@@PAPAX@Z
