000147D8 00014811 ?Asn1X509GetPublicKeyInfo@@YGXPAUSubjectPublicKeyInfo@@KPAU_CERT_PUBLIC_KEY_INFO@@PAPAEPAJ@Z
0001490E 00014960 ?Asn1X509CertInfoDecodeEx@@YGHKPBDPBEKKPAU_CRYPT_DECODE_PARA@@PAXPAK@Z
00014965 00014A98 ?Asn1X509CertInfoDecodeExCallback@@YGHPAXKPAU_CRYPT_DECODE_PARA@@0PAJ@Z
00014AB5 00014B1D _CertCompareIntegerBlob@8
00014B3B 00014B61 _CertCompareCertificate@12
00014BB4 00014BC2 _CertPerfIncrementCertElementTotalCount@0
00014BF9 00014C26 _Asn1UtilExtractKeyIdFromCertInfo@8
00014C2B 00014C4D ?Asn1X509GetHugeInteger@@YGXPAUtagASN1intx_t@@KPAU_CRYPTOAPI_BLOB@@PAPAEPAJ@Z
00014C52 00014C8B _PkiAsn1GetHugeInteger@24
00014F49 00014F5E ?OpenCollectionStoreProv@@YGHPBDKKKPBXPAXPAU_CERT_STORE_PROV_INFO@@@Z
00014F63 00014F8F ?ReleaseShareElement@@YGXPAU_SHARE_ELEMENT@@@Z
00014FA3 00014FBD ?GetContextEncodingType@@YGKPAU_CONTEXT_ELEMENT@@@Z
00014FED 0001504E ?PushCollectionStack@@YGHPAPAU_COLLECTION_STACK_ENTRY@@PAU_CERT_STORE@@@Z
00015053 00015078 ?FreePropElement@@YGXPAU_PROP_ELEMENT@@@Z
0001507D 000150DC ?AllocAndGetProperty@@YGHPAU_CONTEXT_ELEMENT@@KPAPAXPAK@Z
00015117 00015176 ?CompareCrlElement@@YGHPAU_CONTEXT_ELEMENT@@PBU_CERT_STORE_PROV_FIND_INFO@@H@Z
0001519A 0001522A ?DeleteContextElement@@YGHPAU_CONTEXT_ELEMENT@@@Z
00015282 00015336 ?FindElementInOtherStore@@YGHPAU_CERT_STORE@@KPAU_CONTEXT_ELEMENT@@PAPAU2@@Z
0001534B 00015373 _CertSetCRLContextProperty@16
00015381 0001539C _CertCompareCertificateName@12
000153A1 000153FF ?GetSignOIDInfo@@YGHPBDPAI1PAK2@Z
00015404 00015437 ?I_CryptGetDefaultContext@@YGHKPBXPAKPAPAX@Z
